page_index,page_url,pdf_url,anchor,context,http_status,final_url,content_type,bytes,pdf_magic,sha256
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_34.pdf,"""Dr. Zlatko Frid (Ed.): Religions In Yugoslavia ,"" Religion in Communist Lands 1.4-5 (1973): 34-35. pdf","""Dr. Zlatko Frid (Ed.): Religions In Yugoslavia ,"" Religion in Communist Lands 1.4-5 (1973): 34-35. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_34.pdf,application/pdf,79419,True,2cee91329c70c2ca857b2650b08bb47637d6e1f29122c776c5233c60d8aadfa4
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_35.pdf,"Michael Rowe, ""Steve Durasoff: Pentecost Behind The Iron Curtain ,"" Religion in Communist Lands 1.4-5 (1973): 35-37. pdf","Michael Rowe, ""Steve Durasoff: Pentecost Behind The Iron Curtain ,"" Religion in Communist Lands 1.4-5 (1973): 35-37. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_35.pdf,application/pdf,146033,True,87721b836bc2d0671e8d9f66f896f0f01f01158b25bc1b72c9071f3632a61b8e
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_37.pdf,"""Viterslav Gardaysky: God Is Not Yet Dead ,"" Religion in Communist Lands 1.4-5 (1973): 37-39. pdf","""Viterslav Gardaysky: God Is Not Yet Dead ,"" Religion in Communist Lands 1.4-5 (1973): 37-39. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_37.pdf,application/pdf,140937,True,f1f4ad9f0a54cec634be69ef986240ab660e9fe8f85d4367ee806b67a6a0a09e
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_40.pdf,"""1. Buddhism Worries Soviet Teachers ( Uchitelskaya Gazeta ),"" Religion in Communist Lands 1.4-5 (1973): 40-42. pdf","""1. Buddhism Worries Soviet Teachers ( Uchitelskaya Gazeta ),"" Religion in Communist Lands 1.4-5 (1973): 40-42. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_40.pdf,application/pdf,153512,True,8e4e5801244c433125aa924c2d8eaa115f2ffbaf066e2bded74fe199b03c55a9
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_43.pdf,"""2. A Buddhist ""Group"" on Trial,"" Religion in Communist Lands 1.4-5 (1973): 43-47. pdf","""2. A Buddhist ""Group"" on Trial,"" Religion in Communist Lands 1.4-5 (1973): 43-47. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_43.pdf,application/pdf,278158,True,5a71fc4846a444027bdb497d1141c1924667af57f214509d4498042203d26598
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_47.pdf,"""3. The Voice of Lithuanian Catholics,"" Religion in Communist Lands 1.4-5 (1973): 47-54. pdf","""3. The Voice of Lithuanian Catholics,"" Religion in Communist Lands 1.4-5 (1973): 47-54. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_47.pdf,application/pdf,397228,True,60830f92d6d01a4a299beb8c4d260ebf9876266157ffcd612338d8b61d8c7be9
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_54.pdf,"""4. A Moscow Sermon,"" Religion in Communist Lands 1.4-5 (1973): 54-55. pdf","""4. A Moscow Sermon,"" Religion in Communist Lands 1.4-5 (1973): 54-55. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_54.pdf,application/pdf,94451,True,c18e20f38b437a6c8f3a50307d63efc424d9fc7014390d3c4817b1ba01da0d31
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_56.pdf,"Michael Bourdeaux, ""News from the Centre,"" Religion in Communist Lands 1.4-5 (1973): 56-59. pdf","Michael Bourdeaux, ""News from the Centre,"" Religion in Communist Lands 1.4-5 (1973): 56-59. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_56.pdf,application/pdf,166198,True,87b31f2d2343cc84bef940086e05cb8c2d80bad1d1d5e7fa1f5fe72c1947a901
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_59.pdf,"""The International Committee for the Defence of Human Rights in the USSR,"" Religion in Communist Lands 1.4-5 (1973): 59-60. pdf","""The International Committee for the Defence of Human Rights in the USSR,"" Religion in Communist Lands 1.4-5 (1973): 59-60. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_59.pdf,application/pdf,125238,True,14c86589ca4e07789e537720629eb8d76ae293d607858807b07539b6029b758e
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_60.pdf,"""A Chronicle of Human Rights,"" Religion in Communist Lands 1.4-5 (1973): 60-61. pdf","""A Chronicle of Human Rights,"" Religion in Communist Lands 1.4-5 (1973): 60-61. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_60.pdf,application/pdf,86046,True,46cdfe86c53e9fe04f22b1edfab140d546f64d93d5d5cc7f283a55c18e769293
